,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,num_user_for_reviews,language,country,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
29,Color,Colin Trevorrow,644.0,124.0,365.0,1000.0,Judy Greer,3000.0,652177271.0,Action|Adventure|Sci-Fi|Thriller,Bryce Dallas Howard,418214,8458,Omar Sy,0.0,1290.0,English,USA,150000000.0,2015.0,2000.0,7.0,2.0,150000
30,Color,Sam Mendes,750.0,143.0,0.0,393.0,Helen McCrory,883.0,304360277.0,Action|Adventure|Thriller,Albert Finney,522030,2039,Rory Kinnear,0.0,1498.0,English,UK,200000000.0,2012.0,563.0,7.8,2.35,80000
31,Color,Sam Raimi,300.0,135.0,0.0,4000.0,James Franco,24000.0,373377893.0,Action|Adventure|Fantasy|Romance,J.K. Simmons,411164,43388,Kirsten Dunst,1.0,1303.0,English,USA,200000000.0,2004.0,11000.0,7.3,2.35,0
32,Color,Shane Black,608.0,195.0,1000.0,3000.0,Jon Favreau,21000.0,408992272.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,557489,30426,Don Cheadle,3.0,1187.0,English,USA,200000000.0,2013.0,4000.0,7.2,2.35,95000
33,Color,Tim Burton,451.0,108.0,13000.0,11000.0,Alan Rickman,40000.0,334185206.0,Adventure|Family|Fantasy,Johnny Depp,306320,79957,Anne Hathaway,0.0,736.0,English,USA,200000000.0,2010.0,25000.0,6.5,1.85,24000
34,Color,Brett Ratner,334.0,104.0,420.0,560.0,Kelsey Grammer,20000.0,234360014.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,383427,21714,Daniel Cudmore,0.0,1912.0,English,Canada,210000000.0,2006.0,808.0,6.8,2.35,0
35,Color,Dan Scanlon,376.0,104.0,37.0,760.0,Tyler Labine,12000.0,268488329.0,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,235025,14863,Sean Hayes,0.0,265.0,English,USA,200000000.0,2013.0,779.0,7.3,1.85,44000
36,Color,Michael Bay,366.0,150.0,0.0,464.0,Kevin Dunn,894.0,402076689.0,Action|Adventure|Sci-Fi,Glenn Morshower,323207,3218,Ramon Rodriguez,0.0,1439.0,English,USA,200000000.0,2009.0,581.0,6.0,2.35,0
37,Color,Michael Bay,378.0,165.0,0.0,808.0,Sophia Myles,974.0,245428137.0,Action|Adventure|Sci-Fi,Bingbing Li,242420,3988,Kelsey Grammer,2.0,918.0,English,USA,210000000.0,2014.0,956.0,5.7,2.35,56000
38,Color,Sam Raimi,525.0,130.0,0.0,11000.0,Mila Kunis,44000.0,234903076.0,Adventure|Family|Fantasy,Tim Holmes,175409,73441,James Franco,4.0,511.0,English,USA,215000000.0,2013.0,15000.0,6.4,2.35,60000
39,Color,Marc Webb,495.0,142.0,464.0,825.0,Andrew Garfield,15000.0,202853933.0,Action|Adventure|Fantasy|Sci-Fi,Emma Stone,321227,28631,B.J. Novak,0.0,1067.0,English,USA,200000000.0,2014.0,10000.0,6.7,2.35,41000
40,Color,Joseph Kosinski,469.0,125.0,364.0,1000.0,Olivia Wilde,12000.0,172051787.0,Action|Adventure|Sci-Fi,Jeff Bridges,264183,25550,James Frain,0.0,665.0,English,USA,170000000.0,2010.0,10000.0,6.8,2.35,30000
41,Color,John Lasseter,304.0,106.0,487.0,776.0,Thomas Kretschmann,1000.0,191450875.0,Adventure|Animation|Comedy|Family|Sport,Joe Mantegna,101178,4482,Eddie Izzard,0.0,283.0,English,USA,200000000.0,2011.0,919.0,6.3,2.35,10000
42,Color,Martin Campbell,436.0,123.0,258.0,326.0,Temuera Morrison,16000.0,116593191.0,Action|Adventure|Sci-Fi,Ryan Reynolds,223393,17657,Taika Waititi,2.0,550.0,English,USA,200000000.0,2011.0,368.0,5.6,2.35,24000
43,Color,Lee Unkrich,453.0,103.0,125.0,721.0,John Ratzenberger,15000.0,414984497.0,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,544884,19085,Don Rickles,3.0,733.0,English,USA,200000000.0,2010.0,1000.0,8.3,1.85,30000
44,Color,McG,422.0,118.0,368.0,988.0,Bryce Dallas Howard,23000.0,125320003.0,Action|Adventure|Sci-Fi,Christian Bale,286095,27468,Common,0.0,974.0,English,USA,200000000.0,2009.0,3000.0,6.6,2.35,0
45,Color,James Wan,424.0,140.0,0.0,14000.0,Paul Walker,26000.0,350034110.0,Action|Crime|Thriller,Jason Statham,278232,79150,Vin Diesel,0.0,657.0,English,USA,190000000.0,2015.0,23000.0,7.2,2.35,94000
46,Color,Marc Forster,654.0,123.0,395.0,1000.0,Brad Pitt,17000.0,202351611.0,Action|Adventure|Horror|Sci-Fi|Thriller,Peter Capaldi,465019,32392,Mireille Enos,0.0,995.0,English,USA,190000000.0,2013.0,11000.0,7.0,2.35,129000
47,Color,Bryan Singer,539.0,149.0,0.0,20000.0,Peter Dinklage,34000.0,233914986.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Jennifer Lawrence,514125,91434,Hugh Jackman,7.0,752.0,English,USA,200000000.0,2014.0,22000.0,8.0,2.35,82000
48,Color,J.J. Abrams,590.0,132.0,14000.0,928.0,Bruce Greenwood,19000.0,228756232.0,Action|Adventure|Sci-Fi,Benedict Cumberbatch,395573,21411,Noel Clarke,0.0,1171.0,English,USA,190000000.0,2013.0,981.0,7.8,2.35,92000
49,Color,Bryan Singer,338.0,114.0,0.0,140.0,Ewen Bremner,979.0,65171860.0,Adventure|Fantasy,Eddie Marsan,106416,1766,Ralph Brown,1.0,205.0,English,USA,195000000.0,2013.0,557.0,6.3,2.35,22000
50,Color,Baz Luhrmann,490.0,143.0,1000.0,77.0,Elizabeth Debicki,29000.0,144812796.0,Drama|Romance,Leonardo DiCaprio,362912,29770,Steve Bisley,4.0,753.0,English,Australia,105000000.0,2013.0,509.0,7.3,2.35,115000
51,Color,Mike Newell,306.0,116.0,179.0,236.0,Richard Coyle,15000.0,90755643.0,Action|Adventure|Fantasy|Romance,Jake Gyllenhaal,222403,16149,Reece Ritchie,2.0,453.0,English,USA,200000000.0,2010.0,567.0,6.6,2.35,23000
52,Color,Guillermo del Toro,575.0,131.0,0.0,919.0,Clifton Collins Jr.,16000.0,101785482.0,Action|Adventure|Sci-Fi,Charlie Hunnam,381148,19166,Larry Joe Campbell,0.0,1106.0,English,USA,190000000.0,2013.0,968.0,7.0,1.85,83000
53,Color,Michael Bay,428.0,154.0,0.0,581.0,Lester Speight,894.0,352358779.0,Action|Adventure|Sci-Fi,Glenn Morshower,326180,2593,Kevin Dunn,2.0,899.0,English,USA,195000000.0,2011.0,829.0,6.3,2.35,46000
54,Color,Steven Spielberg,470.0,122.0,14000.0,1000.0,Ray Winstone,11000.0,317011114.0,Action|Adventure|Fantasy,Harrison Ford,333847,14959,Jim Broadbent,2.0,2054.0,English,USA,185000000.0,2008.0,1000.0,6.2,2.35,5000
56,Color,Mark Andrews,488.0,93.0,56.0,838.0,John Ratzenberger,2000.0,237282182.0,Adventure|Animation|Comedy|Family|Fantasy,Kelly Macdonald,273556,5005,Julie Walters,0.0,428.0,English,USA,185000000.0,2012.0,1000.0,7.2,2.35,39000
57,Color,Justin Lin,322.0,122.0,681.0,105.0,Melissa Roxburgh,998.0,130468626.0,Action|Adventure|Sci-Fi|Thriller,Sofia Boutella,53607,1327,Lydia Wilson,4.0,432.0,English,USA,185000000.0,2016.0,119.0,7.5,2.35,30000
58,Color,Andrew Stanton,421.0,98.0,475.0,522.0,Fred Willard,1000.0,223806889.0,Adventure|Animation|Family|Sci-Fi,John Ratzenberger,718837,2975,Jeff Garlin,0.0,1043.0,English,USA,180000000.0,2008.0,729.0,8.4,2.35,16000
59,Color,Brett Ratner,162.0,91.0,420.0,173.0,Dana Ivey,268.0,140080850.0,Action|Comedy|Crime|Thriller,Tzi Ma,121084,1125,Noémie Lenoir,2.0,221.0,English,USA,140000000.0,2007.0,268.0,6.2,2.35,0
60,Color,Roland Emmerich,367.0,158.0,776.0,310.0,Liam James,1000.0,166112167.0,Action|Adventure|Sci-Fi,Oliver Platt,283418,2144,Tom McCarthy,0.0,1055.0,English,USA,200000000.0,2009.0,468.0,5.8,2.35,13000
61,Color,Robert Zemeckis,240.0,96.0,0.0,10000.0,Colin Firth,18000.0,137850096.0,Animation|Drama|Family|Fantasy,Robin Wright,72809,48878,Gary Oldman,0.0,249.0,English,USA,200000000.0,2009.0,14000.0,6.8,2.35,0
62,Color,Lana Wachowski,384.0,127.0,0.0,13000.0,Mila Kunis,17000.0,47375327.0,Action|Adventure|Sci-Fi,Channing Tatum,139593,47334,Eddie Redmayne,1.0,720.0,English,USA,176000000.0,2015.0,15000.0,5.4,2.35,44000
63,Color,David Yates,248.0,110.0,282.0,103.0,Alexander Skarsgård,11000.0,124051759.0,Action|Adventure|Drama|Romance,Christoph Waltz,42372,21175,Casper Crump,2.0,239.0,English,USA,180000000.0,2016.0,10000.0,6.6,2.35,29000
64,Color,Andrew Adamson,284.0,150.0,80.0,82.0,Kiran Shah,1000.0,291709845.0,Adventure|Family|Fantasy,Jim Broadbent,286506,1317,Shane Rangi,5.0,1463.0,English,USA,180000000.0,2005.0,190.0,6.9,2.35,0
65,Color,Bryan Singer,396.0,144.0,0.0,1000.0,Michael Fassbender,34000.0,154985087.0,Action|Adventure|Sci-Fi,Jennifer Lawrence,148379,49684,Tye Sheridan,6.0,622.0,English,USA,178000000.0,2016.0,13000.0,7.3,2.35,54000
66,Color,Christopher Nolan,645.0,152.0,22000.0,11000.0,Heath Ledger,23000.0,533316061.0,Action|Crime|Drama|Thriller,Christian Bale,1676169,57802,Morgan Freeman,0.0,4667.0,English,USA,185000000.0,2008.0,13000.0,9.0,2.35,37000
67,Color,Pete Docter,408.0,96.0,0.0,262.0,Delroy Lindo,1000.0,292979556.0,Adventure|Animation|Comedy|Family,John Ratzenberger,665575,2635,Jess Harnell,1.0,704.0,English,USA,175000000.0,2009.0,848.0,8.3,1.85,27000
68,Color,Rob Letterman,219.0,94.0,11.0,459.0,Rainn Wilson,1000.0,198332128.0,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Amy Poehler,114553,2579,Stephen Colbert,2.0,187.0,English,USA,175000000.0,2009.0,973.0,6.5,2.35,0
69,Color,Jon Favreau,486.0,126.0,4000.0,4000.0,Jeff Bridges,21000.0,318298180.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,696338,39252,Jon Favreau,3.0,1055.0,English,USA,140000000.0,2008.0,12000.0,7.9,2.35,10000
70,Color,Martin Scorsese,682.0,126.0,17000.0,1000.0,Christopher Lee,17000.0,73820094.0,Adventure|Drama|Family|Mystery,Chloë Grace Moretz,245333,36017,Ray Winstone,0.0,678.0,English,USA,170000000.0,2011.0,16000.0,7.5,1.85,42000
71,Color,Barry Sonnenfeld,85.0,106.0,188.0,582.0,Salma Hayek,10000.0,113745408.0,Action|Comedy|Sci-Fi|Western,Will Smith,129601,15870,Bai Ling,2.0,648.0,English,USA,170000000.0,1999.0,4000.0,4.8,1.85,0
72,Color,Rob Cohen,264.0,112.0,357.0,595.0,Brendan Fraser,5000.0,102176165.0,Action|Adventure|Fantasy|Horror|Thriller,Jet Li,117927,9131,Russell Wong,2.0,501.0,English,USA,145000000.0,2008.0,3000.0,5.2,2.35,0
73,Color,David Ayer,418.0,123.0,452.0,329.0,Robin Atkin Downes,10000.0,161087183.0,Action|Adventure|Comedy|Sci-Fi,Will Smith,118992,11287,Ike Barinholtz,8.0,971.0,English,USA,175000000.0,2016.0,336.0,6.9,2.35,80000
74,Color,Tom Shadyac,186.0,96.0,293.0,7000.0,Morgan Freeman,87000.0,100289690.0,Comedy|Family|Fantasy,Jimmy Bennett,115099,108016,Steve Carell,0.0,257.0,English,USA,175000000.0,2007.0,11000.0,5.4,2.35,2000
75,Color,Doug Liman,585.0,113.0,218.0,509.0,Lara Pulver,10000.0,100189501.0,Action|Adventure|Sci-Fi,Tom Cruise,431620,12652,Noah Taylor,1.0,741.0,English,USA,178000000.0,2014.0,854.0,7.9,2.35,77000
76,Color,Kevin Reynolds,91.0,176.0,58.0,60.0,Rick Aviles,711.0,88246220.0,Action|Adventure|Sci-Fi|Thriller,Jeanne Tripplehorn,144337,1004,Zakes Mokae,0.0,309.0,English,USA,175000000.0,1995.0,60.0,6.1,1.85,0
77,Color,Stephen Sommers,250.0,118.0,208.0,570.0,Dennis Quaid,23000.0,150167630.0,Action|Adventure|Sci-Fi|Thriller,Joseph Gordon-Levitt,174578,26683,Leo Howard,4.0,534.0,English,USA,175000000.0,2009.0,2000.0,5.8,2.35,0
78,Color,Pete Docter,536.0,95.0,0.0,384.0,Mindy Kaling,1000.0,356454367.0,Adventure|Animation|Comedy|Drama|Family|Fantasy,Amy Poehler,345198,2944,Phyllis Smith,1.0,773.0,English,USA,175000000.0,2015.0,767.0,8.3,1.85,118000
79,Color,Jon Favreau,370.0,106.0,4000.0,591.0,Bill Murray,19000.0,362645141.0,Adventure|Drama|Family|Fantasy,Scarlett Johansson,106072,32921,Garry Shandling,0.0,398.0,English,UK,175000000.0,2016.0,13000.0,7.8,1.85,65000
80,Color,Jon Favreau,453.0,124.0,4000.0,4000.0,Scarlett Johansson,21000.0,312057433.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,522371,48638,Jon Favreau,4.0,723.0,English,USA,200000000.0,2010.0,19000.0,7.0,2.35,18000
81,Color,Rupert Sanders,416.0,132.0,274.0,11000.0,Kristen Stewart,26000.0,155111815.0,Action|Adventure|Drama|Fantasy,Chris Hemsworth,228554,72881,Sam Claflin,0.0,710.0,English,USA,170000000.0,2012.0,17000.0,6.1,2.35,53000
82,Color,Robert Stromberg,401.0,97.0,171.0,846.0,Sharlto Copley,11000.0,241407328.0,Action|Adventure|Family|Fantasy|Romance,Angelina Jolie Pitt,252257,15516,Sam Riley,2.0,634.0,English,USA,180000000.0,2014.0,2000.0,7.0,2.35,89000
83,Color,Matt Reeves,521.0,130.0,198.0,884.0,Judy Greer,10000.0,208543795.0,Action|Adventure|Drama|Sci-Fi,Gary Oldman,317542,14363,Kodi Smit-McPhee,0.0,620.0,English,USA,170000000.0,2014.0,2000.0,7.6,1.85,45000
85,Color,Carl Rinsch,218.0,128.0,47.0,982.0,Cary-Hiroyuki Tagawa,18000.0,38297305.0,Action|Adventure|Drama|Fantasy,Keanu Reeves,116994,20965,Jin Akanishi,2.0,324.0,English,USA,175000000.0,2013.0,1000.0,6.3,2.35,35000
86,Color,Anthony Russo,576.0,136.0,94.0,2000.0,Chris Evans,19000.0,259746958.0,Action|Adventure|Sci-Fi,Scarlett Johansson,496749,36188,Hayley Atwell,1.0,742.0,English,USA,170000000.0,2014.0,11000.0,7.8,2.35,55000
87,Color,Mike Mitchell,226.0,93.0,31.0,213.0,Kathy Griffin,4000.0,238371987.0,Adventure|Animation|Comedy|Family|Fantasy,Jon Hamm,138661,4628,Mary Kay Place,2.0,173.0,English,USA,165000000.0,2010.0,225.0,6.4,2.35,0
88,Color,Brad Bird,443.0,130.0,663.0,604.0,Chris Bauer,2000.0,93417865.0,Action|Adventure|Family|Mystery|Sci-Fi,Judy Greer,128306,5046,Thomas Robinson,2.0,497.0,English,USA,190000000.0,2015.0,638.0,6.5,2.2,37000
89,Color,Don Hall,384.0,102.0,38.0,562.0,Daniel Henney,756.0,222487711.0,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Damon Wayans Jr.,279093,2963,Abraham Benrubi,0.0,433.0,English,USA,165000000.0,2014.0,719.0,7.9,2.39,41000
90,Color,Rich Moore,377.0,101.0,66.0,833.0,Sarah Silverman,975.0,189412677.0,Adventure|Animation|Comedy|Family|Sci-Fi,Jack McBrayer,272534,4451,Joe Lo Truglio,1.0,345.0,English,USA,165000000.0,2012.0,931.0,7.8,2.35,40000
91,Color,Robert Zemeckis,188.0,100.0,0.0,267.0,Eddie Deezen,15000.0,665426.0,Adventure|Animation|Family|Fantasy,Tom Hanks,120798,16264,Peter Scolari,0.0,444.0,English,USA,165000000.0,2004.0,726.0,6.6,2.35,10000
92,Color,Roland Emmerich,286.0,120.0,776.0,535.0,Sela Ward,890.0,102315545.0,Action|Adventure|Sci-Fi,Vivica A. Fox,58137,3233,Judd Hirsch,0.0,520.0,English,USA,165000000.0,2016.0,812.0,5.5,2.35,67000
93,Color,Dean DeBlois,288.0,98.0,255.0,759.0,America Ferrera,18000.0,217387997.0,Adventure|Animation|Family|Fantasy,Gerard Butler,485430,20453,Craig Ferguson,0.0,492.0,English,USA,165000000.0,2010.0,953.0,8.2,2.35,33000
94,Color,Jonathan Mostow,280.0,109.0,84.0,191.0,M.C. Gainey,648.0,150350192.0,Action|Sci-Fi,Nick Stahl,305340,1769,Carolyn Hennesy,0.0,1676.0,English,USA,200000000.0,2003.0,284.0,6.4,2.35,0
95,Color,James Gunn,653.0,121.0,571.0,3000.0,Vin Diesel,14000.0,333130696.0,Action|Adventure|Sci-Fi,Bradley Cooper,682155,32438,Djimon Hounsou,3.0,1097.0,English,USA,170000000.0,2014.0,14000.0,8.1,2.35,96000
96,Color,Christopher Nolan,712.0,169.0,22000.0,6000.0,Anne Hathaway,11000.0,187991439.0,Adventure|Drama|Sci-Fi,Matthew McConaughey,928227,31488,Mackenzie Foy,1.0,2725.0,English,USA,165000000.0,2014.0,11000.0,8.6,2.35,349000
97,Color,Christopher Nolan,642.0,148.0,22000.0,23000.0,Tom Hardy,29000.0,292568851.0,Action|Adventure|Sci-Fi|Thriller,Leonardo DiCaprio,1468200,81115,Joseph Gordon-Levitt,0.0,2803.0,English,USA,160000000.0,2010.0,27000.0,8.8,2.35,175000
100,Color,Rob Cohen,187.0,106.0,357.0,4000.0,Vin Diesel,23000.0,144512310.0,Action|Crime|Thriller,Paul Walker,272223,45327,Jordana Brewster,2.0,988.0,English,USA,38000000.0,2001.0,14000.0,6.7,2.35,14000
101,Color,David Fincher,362.0,166.0,21000.0,919.0,Jason Flemyng,11000.0,127490802.0,Drama|Fantasy|Romance,Brad Pitt,459346,13333,Julia Ormond,2.0,822.0,English,USA,150000000.0,2008.0,1000.0,7.8,2.35,23000
102,Color,Matthew Vaughn,500.0,132.0,905.0,1000.0,Michael Fassbender,34000.0,146405371.0,Action|Adventure|Sci-Fi,Jennifer Lawrence,518537,50983,Oliver Platt,3.0,698.0,English,USA,160000000.0,2011.0,13000.0,7.8,2.35,54000
103,Color,Francis Lawrence,389.0,137.0,508.0,14000.0,Philip Seymour Hoffman,34000.0,281666058.0,Adventure|Sci-Fi,Jennifer Lawrence,166137,81385,Josh Hutcherson,1.0,383.0,English,USA,160000000.0,2015.0,22000.0,6.6,2.35,38000
104,Color,Jon Turteltaub,235.0,109.0,226.0,370.0,Omar Benson Miller,12000.0,63143812.0,Action|Adventure|Family|Fantasy,Nicolas Cage,124185,13388,Robert Capron,0.0,238.0,English,USA,150000000.0,2010.0,418.0,6.1,2.35,11000
105,Color,Wolfgang Petersen,231.0,98.0,249.0,702.0,Mike Vogel,87000.0,60655503.0,Action|Adventure|Drama|Thriller,Jimmy Bennett,82380,92456,Andre Braugher,0.0,629.0,English,USA,160000000.0,2006.0,2000.0,5.6,2.35,0
106,Color,James Bobin,218.0,113.0,33.0,11000.0,Alan Rickman,40000.0,76846624.0,Adventure|Family|Fantasy,Johnny Depp,21352,80806,Anne Hathaway,1.0,131.0,English,USA,170000000.0,2016.0,25000.0,6.4,1.85,30000
107,Color,Chris Miller,227.0,93.0,50.0,692.0,Eric Idle,3000.0,320706665.0,Adventure|Animation|Comedy|Family|Fantasy,Justin Timberlake,211971,4705,Rupert Everett,2.0,326.0,English,USA,160000000.0,2007.0,795.0,6.1,1.85,0
108,Color,Duncan Jones,275.0,123.0,0.0,648.0,Callum Rennie,3000.0,46978995.0,Action|Adventure|Fantasy,Dominic Cooper,111609,5505,Ruth Negga,0.0,781.0,English,USA,160000000.0,2016.0,716.0,7.3,2.35,89000
109,Color,Alan Taylor,474.0,126.0,230.0,2000.0,Emilia Clarke,24000.0,89732035.0,Action|Adventure|Sci-Fi,J.K. Simmons,188457,38873,Matt Smith,2.0,867.0,English,USA,155000000.0,2015.0,10000.0,6.6,2.35,82000
